iso_code,continent,location,last_updated_date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests
AFG,Asia,Afghanistan,8/4/2024,41128772,235214,0,0,7998,0,0,5796.468,0,0,197.098,0,0,,,,,,,,,,
OWID_AFR,,Africa,8/4/2024,1426736614,13145380,36,5.143,259117,0,0,9088.877,0.025,0.004,179.157,0,0,,,,,,,,,,
ALB,Europe,Albania,8/4/2024,2842318,335047,0,0,3605,0,0,118491.02,0,0,1274.926,0,0,,,,,,,,,,
DZA,Africa,Algeria,8/4/2024,44903228,272139,18,2.571,6881,0,0,5984.05,0.396,0.057,151.306,0,0,,,,,,,,,,
ASM,Oceania,American Samoa,8/4/2024,44295,8359,0,0,34,0,0,172831.6,0,0,702.988,0,0,,,,,,,,,,
AND,Europe,Andorra,8/4/2024,79843,48015,0,0,159,0,0,602280.44,0,0,1994.431,0,0,,,,,,,,,,
AGO,Africa,Angola,8/4/2024,35588996,107481,0,0,1937,0,0,3016.162,0,0,54.357,0,0,,,,,,,,,,
AIA,North America,Anguilla,8/4/2024,15877,3904,0,0,12,0,0,274890.88,0,0,844.951,0,0,,,,,,,,,,
ATG,North America,Antigua and Barbuda,8/4/2024,93772,9106,0,0,146,0,0,98071.1,0,0,1572.412,0,0,,,,,,,,,,
ARG,South America,Argentina,8/4/2024,45510324,10101218,54,7.714,130663,1,0.143,222455.06,1.189,0.17,2877.538,0.022,0.003,,,,,,,,,,
ARM,Asia,Armenia,8/4/2024,2780472,452273,0,0,8777,0,0,156991.11,0,0,3046.635,0,0,,,,,,,,,,
ABW,North America,Aruba,8/4/2024,106459,44224,0,0,292,0,0,410271.62,0,0,2708.921,0,0,,,,,,,,,,
OWID_ASI,,Asia,8/14/2024,4721383370,301499099,4515,645,1637249,17,2.429,63948.2,0.958,0.137,347.262,0.004,0.001,,,,,,,,,,
AUS,Oceania,Australia,8/4/2024,26177410,11861161,0,0,25236,0,0,452699,0,0,963.17,0,0,,,,,,,,,,
AUT,Europe,Austria,8/4/2024,8939617,6082444,15,2.143,22534,0,0,671004.9,1.655,0.236,2485.912,0,0,,,,,,,,,,
AZE,Asia,Azerbaijan,8/4/2024,10358078,835757,63,9,10353,0,0,81178.445,6.119,0.874,1005.604,0,0,,,,,,,,,,
BHS,North America,Bahamas,8/4/2024,409989,39127,0,0,849,0,0,98421.81,0,0,2135.612,0,0,,,,,,,,,,
BHR,Asia,Bahrain,8/4/2024,1472237,696614,0,0,1536,0,0,454276.25,0,0,1001.657,0,0,,,,,,,,,,
BGD,Asia,Bangladesh,8/4/2024,171186368,2051348,40,5.714,29499,0,0,12110.572,0.236,0.034,174.154,0,0,,,,,,,,,,
BRB,North America,Barbados,8/4/2024,281646,108582,57,8.143,593,0,0,384600.7,201.896,28.842,2100.424,0,0,,,,,,,,,,
BLR,Europe,Belarus,8/4/2024,9534956,994037,0,0,7118,0,0,108362.68,0,0,775.953,0,0,,,,,,,,,,
BEL,Europe,Belgium,8/4/2024,11655923,4872829,1277,182.429,34339,0,0,418562.72,109.691,15.67,2949.626,0,0,,,,,,,,,,
BLZ,North America,Belize,8/4/2024,405285,71414,0,0,688,0,0,177319.92,0,0,1708.294,0,0,,,,,,,,,,
